customer_id,name,registration_date,status,region,is_north
1021,user 21,2023-01-01,active,North,True
1025,user 25,2023-01-05,active,North,True
1033,user 33,2023-01-13,active,North,True
1037,user 37,2023-01-17,active,North,True
1045,user 45,2023-01-25,active,North,True
1049,user 49,2023-01-29,active,North,True
1057,user 57,2023-02-06,active,North,True
1061,user 61,2023-02-10,active,North,True
1069,user 69,2023-02-18,active,North,True
1073,user 73,2023-02-22,active,North,True
1081,user 81,2023-03-02,active,North,True
1085,user 85,2023-03-06,active,North,True
1093,user 93,2023-03-14,active,North,True
1097,user 97,2023-03-18,active,North,True
